id,title,top_words,Topic ID,Aggregated meta-topic,Aggregated topic,Topic,color,short_title
213142,"Transmission, Transmission","['transmiss', 'outbreak', 'virus', 'wnv', 'epidem', 'zika', 'vector', 'spread', 'human', 'chikungunya']",213142,Health impact,Infectious,Transmission,#fed9a6,Transmission
213155,"Stroke, Stroke","['stroke', 'ischem', 'hemorrhag', 'associ', 'subtyp', 'day', 'onset', 'ich', 'sah', 'cerebrovascular']",213155,Health impact,Chronic,Stroke,#fed9a6,Stroke
213148,"HFMD, Hand-foot-and-mouth disease","['hfmd', 'foot', 'mouth', 'hand', 'factor', 'diseas', 'meteorolog', 'childhood', 'humid', 'relat']",213148,Health impact,Infectious,HFMD,#fed9a6,HFMD
213152,"Food, Food insecurity","['food', 'insecur', 'secur', 'hunger', 'nutrit', 'agricultur', 'product', 'africa', 'price', 'countri']",213152,Health impact,Food & nutrition,Food insecurity,#fed9a6,Food
213156,"Influenza, Influenza","['influenza', 'epidem', 'week', 'activ', 'virus', 'pandem', 'vaccin', 'ili', 'surveil', 'temper']",213156,Health impact,Infectious,Influenza,#fed9a6,Influenza
213136,"Hospital, Hospital admissions","['hospit', 'admiss', 'respiratori', 'associ', 'ami', 'pneumonia', 'daili', 'cardiovascular', 'copd', 'increas']",213136,Health impact,Health system demand,Hospital admissions,#fed9a6,Hospital
213163,"Incidence, Disease incidence","['incid', 'rate', 'provinc', 'per', 'irr', 'annual', 'year', 'correl', 'week', 'increas']",213163,Other,Methods,Disease incidence,#bdbdbd,Incidence
213159,"Health facilities, Visit to health care facilities","['visit', 'emerg', 'outpati', 'depart', 'respiratori', 'room', 'increas', 'hospit', 'associ', 'daili']",213159,Health impact,Health system demand,Visits to health care facilities,#fed9a6,Health facilities
213144,"Public health, Public health","['health', 'public', 'review', 'impact', 'research', 'system', 'environment', 'literatur', 'care', 'outcom']",213144,Health impact,Health system demand,Public health ,#fed9a6,Public health
213150,"Particulates, Particle concentration (air)","['concentr', 'particl', 'site', 'aerosol', 'mass', 'measur', 'dure', 'sourc', 'carbon', 'averag']",213150,Exposure,Emissions,Particulate concentration (air),#fbb4ae,Particulates
213191,"China, China","['china', 'provinc', 'haze', 'hfrs', 'chines', 'region', 'control', 'north', 'guangzhou', 'mainland']",213191,Mediating pathways,Geographic exposure,China,#b3cde3,China
213190,"Energy, Energy policy & co-benefits","['energi', 'cost', 'polici', 'benefit', 'cobenefit', 'mitig', 'electr', 'reduc', 'reduct', 'econom']",213190,Intervention option,Mitigation co-benefits,Energy policy & co-benefits,#ccebc5,Energy
213189,"Leptospirosis, Leptospirosis","['leptospirosi', 'leptospira', 'human', 'anim', 'rodent', 'serovar', 'dog', 'zoonot', 'outbreak', 'rainfal']",213189,Health impact,Infectious,Leptospirosis,#fed9a6,Leptospirosis
213188,"Age & sex, Age & sex","['age', 'preval', 'group', 'year', 'women', 'among', 'older', 'adult', 'studi', 'particip']",213188,Mediating pathways,Demographic vulnerability,Age & Sex,#b3cde3,Age & sex
213187,"Household, Rural households","['household', 'stove', 'rural', 'fuel', 'cook', 'survey', 'use', 'incom', 'shock', 'biomass']",213187,Mediating pathways,Geographic exposure,Rural households,#b3cde3,Household
213186,"Rainfall, Monthly rainfall","['month', 'rainfal', 'period', 'correl', 'variabl', 'trend', 'mean', 'averag', 'precipit', 'maximum']",213186,Exposure,Precipitation variabilty,Montly rainfall,#fbb4ae,Rainfall
213185,"Exposure, Exposure","['exposur', 'associ', 'estim', 'ambient', 'increas', 'person', 'shortterm', 'adjust', 'studi', 'use']",213185,Other,Methods,Exposure,#bdbdbd,Exposure
213184,"Injury, Occupational injury","['injuri', 'worker', 'occup', 'work', 'accid', 'workplac', 'safeti', 'wbgt', 'ill', 'workrel']",213184,Health impact,Occupational health & injury,Occupational injury,#fed9a6,Injury
213183,"Asthma, Asthma","['asthma', 'childhood', 'exacerb', 'allerg', 'rhiniti', 'thunderstorm', 'associ', 'smoke', 'asthmat', 'preval']",213183,Health impact,Respiratory,Asthma,#fed9a6,Asthma
213182,"Cold, Cold & extreme temperatures","['cold', 'spell', 'hot', 'wave', 'extrem', 'cvd', 'winter', 'effect', 'attribut', 'coldrel']",213182,Exposure,Heat,Cold & extreme temperatures,#fbb4ae,Cold
213181,"In-/out-door, Indoor/outdoor (pollution & heat)","['indoor', 'outdoor', 'home', 'build', 'hous', 'ventil', 'environ', 'school', 'humid', 'measur']",213181,Mediating pathways,Geographic exposure,Building design,#b3cde3,In-/out-door
213180,"Cholera, Cholera","['cholera', 'outbreak', 'epidem', 'nino', 'vibrio', 'rainfal', 'haiti', 'enso', 'bangladesh', 'sanit']",213180,Health impact,Infectious,Cholera,#fed9a6,Cholera
213179,"RCP, Greenhouse pathways","['scenario', 'project', 'rcp', 'futur', 'pathway', 'increas', 'simul', 'popul', 'global', 'model']",213179,Intervention option,Mitigation co-benefits,Greenhouse pathways,#ccebc5,RCP
213178,"Thermal stress, Thermal stress & comfort","['thermal', 'stress', 'comfort', 'index', 'indic', 'utci', 'pet', 'wbgt', 'condit', 'physiolog']",213178,Health impact,Chronic,Thermal stress & comfort,#fed9a6,Thermal stress
213177,"Death, Death","['death', 'caus', 'excess', 'estim', 'attribut', 'fatal', 'year', 'number', 'rate', 'prematur']",213177,Health impact,All-cause mortality,Death,#fed9a6,Death
213176,"Dust storm, Dust storms","['dust', 'storm', 'desert', 'sourc', 'event', 'asian', 'saharan', 'miner', 'aerosol', 'road']",213176,Exposure,Drought,Dust storms,#fbb4ae,Dust storm
213175,"Suicide, Suicide","['suicid', 'associ', 'rate', 'attempt', 'male', 'men', 'hang', 'adjust', 'sunshin', 'studi']",213175,Health impact,Mental health,Suicide,#fed9a6,Suicide
213174,"Spores, Fungal spores","['spore', 'fungal', 'airborn', 'alternaria', 'cladosporium', 'fungi', 'concentr', 'allergen', 'bioaerosol', 'type']",213174,Health impact,Respiratory,Fungal spores,#fed9a6,Spores
213173,"Drought, Drought","['drought', 'impact', 'veget', 'sever', 'agricultur', 'index', 'vhi', 'shock', 'rural', 'region']",213173,Exposure,Drought,Drought,#fbb4ae,Drought
213172,"Mental, Mental health & PTSD","['mental', 'ptsd', 'disord', 'depress', 'stress', 'posttraumat', 'psycholog', 'anxieti', 'survivor', 'health']",213172,Health impact,Mental health,Mental health & PTSD,#fed9a6,Mental
213171,"DTR, Diurnal temperature range","['dtr', 'diurnal', 'effect', 'rang', 'childhood', 'elder', 'nonaccident', 'modifi', 'hefei', 'nonlinear']",213171,Exposure,Heat,Diurnal temperature range,#fbb4ae,DTR
213170,"Risk, Risk assessment & risk perception","['risk', 'factor', 'percept', 'hazard', 'assess', 'high', 'relat', 'increas', 'map', 'higher']",213170,Other,Methods,Risk assessment & risk perception,#bdbdbd,Risk
213169,"Adaptation, Adaptation","['adapt', 'strategi', 'plan', 'polici', 'capac', 'climat', 'chang', 'govern', 'develop', 'local']",213169,Intervention option,Policy & practice,Adaptation,#ccebc5,Adaptation
213168,"Spatial, Spatial analyses","['spatial', 'area', 'region', 'distribut', 'map', 'cluster', 'use', 'environment', 'geograph', 'data']",213168,Other,Methods,Spatial analyses,#bdbdbd,Spatial
213167,"Hurricane, Hurricanes","['hurrican', 'evacu', 'sandi', 'storm', 'katrina', 'new', 'recoveri', 'york', 'resid', 'damag']",213167,Exposure,Extreme precipitation & flooding,Hurricanes,#fbb4ae,Hurricane
213166,"Warming, Increasing temperature","['degre', 'increas', 'temperatur', 'threshold', 'warm', 'maximum', 'abov', 'mean', 'per', 'averag']",213166,Exposure,Heat,Increasing temperatures,#fbb4ae,Warming
213165,"PAH, Polycyclic aromatic hydrocarbons ","['pah', 'sourc', 'combust', 'aromat', 'hydrocarbon', 'polycycl', 'sampl', 'cancer', 'burn', 'biomass']",213165,Exposure,Emissions,PAH,#fbb4ae,PAH
213164,"Symptom, Symptoms","['symptom', 'depress', 'associ', 'respiratori', 'posttraumat', 'score', 'particip', 'report', 'parent', 'pts']",213164,Other,Methods,Symptoms,#bdbdbd,Symptom
213162,"Child, Child health","['children', 'child', 'age', 'school', 'childhood', 'parent', 'year', 'pneumonia', 'stunt', 'among']",213162,Health impact,Maternal & child health,Child health,#fed9a6,Child
213161,"Patients, Patients","['patient', 'acut', 'medic', 'clinic', 'care', 'day', 'pressur', 'number', 'diabet', 'admit']",213161,Health impact,Health system demand,Patients,#fed9a6,Patients
213160,"RSV, Respiratory viruses","['infect', 'rsv', 'respiratori', 'virus', 'preval', 'rate', 'syncyti', 'detect', 'viral', 'tract']",213160,Health impact,Respiratory,Respiratory viruses,#fed9a6,RSV
213158,"Vulnerability, Vulnerability","['vulner', 'social', 'hazard', 'indic', 'index', 'popul', 'livelihood', 'capac', 'assess', 'econom']",213158,Mediating pathways,Social vulnerability,Vulnerability,#b3cde3,Vulnerability
213157,"Fire, Wildfires","['fire', 'wildfir', 'smoke', 'burn', 'forest', 'biomass', 'wildland', 'impact', 'qualiti', 'plume']",213157,Exposure,Drought,Wildfires,#fbb4ae,Fire
213154,"Meteorology, Meteorological variables","['meteorolog', 'humid', 'correl', 'wind', 'factor', 'pressur', 'relat', 'speed', 'weather', 'atmospher']",213154,Exposure,General seasonality & weather,Meteorological variables,#fbb4ae,Meteorology
213153,"Ozone, Emissions (ozone)","['ozon', 'concentr', 'ppb', 'nox', 'tropospher', 'precursor', 'surfac', 'voc', 'groundlevel', 'nitrogen']",213153,Exposure,Emissions,Emissions (ozone),#fbb4ae,Ozone
213151,"Farmer, Farmers & agriculture","['farmer', 'crop', 'agricultur', 'farm', 'product', 'percept', 'yield', 'pest', 'smallhold', 'rice']",213151,Health impact,Food & nutrition,Farmers & agriculture,#fed9a6,Farmer
213149,"Extreme weather, Extreme weather events","['extrem', 'event', 'weather', 'precipit', 'frequenc', 'condit', 'increas', 'day', 'intens', 'impact']",213149,Exposure,Extreme precipitation & flooding,Extreme weather events,#fbb4ae,Extreme weather
213147,"Birth, Birth & pregnancy","['birth', 'preterm', 'pregnanc', 'gestat', 'women', 'matern', 'weight', 'week', 'deliveri', 'trimest']",213147,Health impact,Maternal & child health,Birth & pregnancy,#fed9a6,Birth
213146,"Seasonality, Seasonality ","['season', 'winter', 'summer', 'variat', 'dure', 'pattern', 'spring', 'dri', 'peak', 'raini']",213146,Exposure,General seasonality & weather,Seasonality,#fbb4ae,Seasonality
213145,"Temporal, Temporal analyses","['day', 'lag', 'associ', 'daili', 'effect', 'week', 'cumul', 'model', 'nonlinear', 'increas']",213145,Other,Methods,Temporal analyses,#bdbdbd,Temporal
213143,"Water, Drinking water quality","['water', 'drink', 'sourc', 'suppli', 'contamin', 'qualiti', 'groundwat', 'sanit', 'sampl', 'coli']",213143,Health impact,WASH,Drinking water quality,#fed9a6,Water
213141,"Heatwave, Heatwaves","['heatwav', 'definit', 'dure', 'intens', 'day', 'durat', 'excess', 'period', 'warn', 'impact']",213141,Exposure,Heat,Heatwaves,#fbb4ae,Heatwave
213140,"Temperature, Ambient temperature","['temperatur', 'effect', 'ambient', 'daili', 'mean', 'percentil', 'high', 'nonlinear', 'associ', 'minimum']",213140,Exposure,Heat,Ambient temperature,#fbb4ae,Temperature
213139,"Resilience, Community resilience","['communiti', 'resili', 'social', 'local', 'particip', 'interview', 'knowledg', 'build', 'resid', 'percept']",213139,Intervention option,Developing community resilience,Community resilience,#ccebc5,Resilience
213138,"Model, Modelling & forecasting","['model', 'predict', 'forecast', 'use', 'data', 'variabl', 'develop', 'accuraci', 'error', 'estim']",213138,Other,Methods,Modeling & forecasting,#bdbdbd,Model
213137,"Mosquito, Mosquito vector dynamics","['mosquito', 'vector', 'abund', 'speci', 'aed', 'aegypti', 'albopictus', 'popul', 'trap', 'densiti']",213137,Health impact,Infectious,Mosquito vector dynamics,#fed9a6,Mosquito
213135,"Infectious, Infectious diseases general","['diseas', 'infecti', 'respiratori', 'cardiovascular', 'vectorborn', 'burden', 'heart', 'chronic', 'diarrheal', 'prevent']",213135,Health impact,Infectious,Infectious diseases general,#fed9a6,Infectious
213134,"Case, Case data","['case', 'report', 'number', 'year', 'occur', 'confirm', 'surveil', 'period', 'dure', 'fever']",213134,Other,Methods,Case data,#bdbdbd,Case
213133,"Flood, Floods","['flood', 'damag', 'river', 'flash', 'event', 'impact', 'peopl', 'fatal', 'area', 'dysenteri']",213133,Exposure,Extreme precipitation & flooding,Floods,#fbb4ae,Flood
213132,"Pollen, Pollen & allergies","['pollen', 'allergen', 'airborn', 'allergi', 'grass', 'grain', 'allerg', 'count', 'poacea', 'concentr']",213132,Health impact,Respiratory,Pollen & allergies,#fed9a6,Pollen
213127,"Malaria, Malaria","['malaria', 'transmiss', 'falciparum', 'plasmodium', 'vivax', 'parasit', 'control', 'anophel', 'elimin', 'intervent']",213127,Health impact,Infectious,Malaria,#fed9a6,Malaria
213125,"Mortality, Mortality","['mortal', 'cardiovascular', 'allcaus', 'respiratori', 'excess', 'rate', 'estim', 'daili', 'increas', 'citi']",213125,Health impact,All-cause mortality,Mortality,#fed9a6,Mortality
213123,"Air pollution, Air pollution","['pollut', 'air', 'qualiti', 'dioxid', 'level', 'citi', 'particul', 'effect', 'matter', 'nitrogen']",213123,Health impact,Respiratory,Air pollution,#fed9a6,Air pollution
213126,"Disaster, Natural disasters","['disast', 'natur', 'prepared', 'manag', 'respons', 'peopl', 'reduct', 'earthquak', 'emerg', 'affect']",213126,Intervention option,Disaster risk reduction,Disaster risk reduction,#ccebc5,Disaster
213124,"NOx/Vehicles, Emissions (NOx & vehicles)","['emiss', 'nox', 'vehicl', 'sourc', 'fuel', 'reduct', 'ship', 'carbon', 'contribut', 'transport']",213124,Exposure,Emissions,Emissions (Nox & vehicles),#fbb4ae,NOx/Vehicles
213122,"Climate change, General climate change","['climat', 'chang', 'impact', 'global', 'increas', 'human', 'mitig', 'futur', 'affect', 'consequ']",213122,Exposure,General climate change,General climate change,#fbb4ae,Climate change
213128,"Dengue, Dengue","['dengu', 'fever', 'outbreak', 'denv', 'epidem', 'aed', 'control', 'vector', 'serotyp', 'aegypti']",213128,Health impact,Infectious,Dengue,#fed9a6,Dengue
213131,"Heat stress, Heat stress","['heat', 'stress', 'heatrel', 'ill', 'extrem', 'worker', 'dure', 'wbgt', 'island', 'work']",213131,Health impact,Chronic,Heat stress,#fed9a6,Heat stress
213130,"PM2.5-10, Particulate matter","['particulatematt', 'particul', 'matter', 'concentr', 'fine', 'pollut', 'diamet', 'Î¼gm', 'level', 'respect']",213130,Exposure,Emissions,Particulate matter,#fbb4ae,PM2.5-10
213129,"Urban, Urban areas","['urban', 'citi', 'uhi', 'area', 'island', 'green', 'rural', 'plan', 'land', 'space']",213129,Mediating pathways,Geographic exposure,Urban areas,#b3cde3,Urban
